                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3634,                 2.0413,                 1.4722,                0.26097,                0.45698,                 0.2784,                0.13349,                   1.63,                 2.3461,                 1.9655,             0.00054949,             0.00054949,             0.00054949
                      2,                 1.4466,                 1.7916,                 1.5215,                0.32199,                0.35555,                0.25894,                0.11237,                 2.0291,                  2.838,                 2.5398,              0.0010614,              0.0010614,              0.0010614
                      3,                  1.532,                 1.8283,                 1.5817,                0.17578,                0.42184,                0.10801,                0.04408,                 2.1032,                 7.3974,                 2.1736,              0.0015293,              0.0015293,              0.0015293
                      4,                  1.545,                 1.8756,                 1.6159,                0.16208,                0.49441,                0.20318,                0.07926,                 2.1304,                 2.6725,                 2.2508,               0.001469,               0.001469,               0.001469
                      5,                 1.5246,                 1.8164,                 1.6109,                 0.4049,                 0.3922,                   0.37,                0.17354,                 1.8911,                  2.121,                 2.0103,              0.0014029,              0.0014029,              0.0014029
                      6,                 1.4944,                 1.7783,                 1.5689,                 0.3994,                0.40987,                0.36236,                0.15377,                 1.6717,                 1.9874,                 1.8832,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.4378,                 1.6786,                  1.549,                0.60033,                0.51486,                0.53899,                0.30368,                 1.4808,                  1.624,                 1.6949,              0.0012709,              0.0012709,              0.0012709
                      8,                 1.3981,                 1.6234,                 1.5049,                0.54277,                0.61143,                0.57323,                0.29684,                 1.4847,                 1.5227,                  1.648,              0.0012049,              0.0012049,              0.0012049
                      9,                  1.389,                 1.5513,                 1.5045,                0.68596,                0.62738,                0.66512,                0.39332,                 1.4151,                 1.4603,                 1.6721,              0.0011389,              0.0011389,              0.0011389
                     10,                 1.3502,                  1.562,                 1.5051,                0.69751,                  0.645,                0.71417,                0.42537,                 1.3586,                 1.2155,                  1.544,              0.0010729,              0.0010729,              0.0010729
                     11,                 1.3309,                 1.4647,                 1.4702,                0.68383,                0.59974,                0.68808,                0.40207,                 1.3674,                 1.3184,                 1.5509,              0.0010069,              0.0010069,              0.0010069
                     12,                 1.2575,                 1.3599,                 1.4113,                0.72575,                0.62441,                0.72156,                0.43768,                 1.3174,                  1.167,                 1.5338,             0.00094085,             0.00094085,             0.00094085
                     13,                 1.2869,                 1.3828,                 1.4365,                0.71535,                0.68778,                0.75443,                0.46939,                 1.3115,                 1.0928,                 1.4939,             0.00087484,             0.00087484,             0.00087484
                     14,                 1.2431,                 1.3111,                 1.4106,                0.78455,                0.65567,                0.75837,                0.47141,                 1.2629,                 1.1115,                 1.4668,             0.00080883,             0.00080883,             0.00080883
                     15,                 1.1704,                 1.2525,                 1.3726,                0.73502,                0.71076,                0.78163,                0.49285,                 1.2506,                 1.0696,                 1.4479,             0.00074282,             0.00074282,             0.00074282
                     16,                 1.1869,                 1.1508,                 1.4187,                0.77661,                 0.7242,                0.79481,                0.50034,                 1.2206,                0.99512,                 1.4322,              0.0006768,              0.0006768,              0.0006768
                     17,                 1.1473,                 1.0721,                 1.3962,                0.79152,                0.72557,                0.79833,                0.50118,                 1.1976,                 1.0337,                 1.4033,             0.00061079,             0.00061079,             0.00061079
                     18,                  1.118,                 1.0384,                 1.3694,                0.84703,                0.71668,                0.83549,                0.55559,                 1.1102,                0.86464,                 1.3553,             0.00054478,             0.00054478,             0.00054478
                     19,                 1.0765,                0.93849,                 1.3431,                0.81785,                0.75885,                0.82429,                0.54113,                 1.1664,                0.87937,                 1.4049,             0.00047876,             0.00047876,             0.00047876
                     20,                 1.0573,                0.89877,                 1.3283,                0.83772,                0.75533,                 0.8519,                0.57617,                 1.1216,                0.84108,                 1.3544,             0.00041275,             0.00041275,             0.00041275
                     21,                0.99458,                 0.8549,                 1.2737,                0.87261,                0.79271,                0.88174,                0.59506,                 1.0819,                0.77487,                 1.3202,             0.00034674,             0.00034674,             0.00034674
                     22,                0.97238,                0.81424,                 1.2729,                0.87169,                0.79618,                0.88202,                 0.6008,                 1.0552,                0.74531,                 1.2932,             0.00028072,             0.00028072,             0.00028072
                     23,                0.94841,                0.78592,                 1.2506,                0.85924,                0.82574,                0.88403,                0.61352,                 1.0391,                0.71453,                  1.292,             0.00021471,             0.00021471,             0.00021471
                     24,                0.91233,                0.71773,                 1.2212,                0.89051,                0.83558,                0.89352,                0.62708,                 1.0276,                0.70771,                 1.2737,              0.0001487,              0.0001487,              0.0001487
                     25,                0.88827,                0.68058,                 1.2048,                0.89742,                0.82725,                0.89922,                0.63556,                0.98548,                0.66577,                 1.2508,             8.2683e-05,             8.2683e-05,             8.2683e-05
